Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tɕe kɯɕɯŋgɯ tɕe iɕqha mingchao ɯraŋ nɯtɕu pjɤŋu tɕendɤre iɕqha nɤki yanguo kɤti rɟɤlkhɤβ ɣɯ nɯrɟɤlpu nɯ kɯ iɕqha nɯ	tɕe kɯɕɯŋgɯ tɕe iɕqha minchaouɯraŋg nɯ tɕu pjɤŋu tɕendɤre iɕqha nɤki yanguo kɤti rɟɤlkhɤβ ɣɯ nɯrɟɤlpu nɯ kɯ iɕqha nɯ	['tɕe', 'kɯɕɯŋgɯ', 'tɕe', 'iɕqha', 'mingchao', 'ɯraŋ', 'nɯtɕu', 'pjɤŋu', 'tɕendɤre', 'iɕqha', 'nɤki', 'yanguo', 'kɤti', 'rɟɤlkhɤβ', 'ɣɯ', 'nɯrɟɤlpu', 'nɯ', 'kɯ', 'iɕqha', 'nɯ']	['tɕe', 'kɯɕɯŋgɯ', 'tɕe', 'iɕqha', 'minchaouɯraŋg', 'nɯ', 'tɕu', 'pjɤŋu', 'tɕendɤre', 'iɕqha', 'nɤki', 'yanguo', 'kɤti', 'rɟɤlkhɤβ', 'ɣɯ', 'nɯrɟɤlpu', 'nɯ', 'kɯ', 'iɕqha', 'nɯ']	0	0.9783549783549783	[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9375
iɕqha nɯ ɯftsa nɯnɯ rɟɤlpu lusɯndɤm pjɤsɯso	iɕqha nɯ ɯftsa nɯnɯ rɟɤlpu lusɯndɤm pjɤsɯso	['iɕqha', 'nɯ', 'ɯftsa', 'nɯnɯ', 'rɟɤlpu', 'lusɯndɤm', 'pjɤsɯso']	['iɕqha', 'nɯ', 'ɯftsa', 'nɯnɯ', 'rɟɤlpu', 'lusɯndɤm', 'pjɤsɯso']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕe nɯ rɟɤlpu lusɯndɤm pjɤsɯso tɕe tɕendɤre nɤkinɯ sɤtɕha ra tosɤtʂoʁloʁnɯ ʑo ɕti tɕe tɕendɤre iɕqha nɯ	tɕe nɯ rɟɤlpu lusɯndɤm pjɤsɯso tɕe tɕendɤre nɤkinɯ sɤtɕha ra tosɤtʂoʁloʁnɯ ʑo ɕti tɕe tɕendɤre iɕqha nɯ	['tɕe', 'nɯ', 'rɟɤlpu', 'lusɯndɤm', 'pjɤsɯso', 'tɕe', 'tɕendɤre', 'nɤkinɯ', 'sɤtɕha', 'ra', 'tosɤtʂoʁloʁnɯ', 'ʑo', 'ɕti', 'tɕe', 'tɕendɤre', 'iɕqha', 'nɯ']	['tɕe', 'nɯ', 'rɟɤlpu', 'lusɯndɤm', 'pjɤsɯso', 'tɕe', 'tɕendɤre', 'nɤkinɯ', 'sɤtɕha', 'ra', 'tosɤtʂoʁloʁnɯ', 'ʑo', 'ɕti', 'tɕe', 'tɕendɤre', 'iɕqha', 'nɯ']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
shandong nɯtɕu ɯrmi zhangxiaobing kɯrmi ci tɯtsɣe ɯkɯβzu ci pjɤtu tɤtɕɯ	shandong nɯtɕu ɯrmi zhangxiaobing kɯrmi ci tɯtsɣe ɯkɯβzu ci pjɤtu tɤtɕɯ	['shandong', 'nɯtɕu', 'ɯrmi', 'zhangxiaobing', 'kɯrmi', 'ci', 'tɯtsɣe', 'ɯkɯβzu', 'ci', 'pjɤtu', 'tɤtɕɯ']	['shandong', 'nɯtɕu', 'ɯrmi', 'zhangxiaobing', 'kɯrmi', 'ci', 'tɯtsɣe', 'ɯkɯβzu', 'ci', 'pjɤtu', 'tɤtɕɯ']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕendɤre ɯrʑaβ nɯ ɯskhrɯ mɯɲɤβdi χsɯsla ma mɯtoβzu ri tɕendɤre ɯpɕi joɬoʁndʑi ɲɤphɣondʑi pjɤra matɕi	tɕendɤre ɯrʑaβ nɯ ɯskhrɯ mɯɲɤβdi χsɯsla ma mɯtoβzu ri tɕendɤre ɯpɕi joɬoʁndʑi ɲɤphɣondʑi pjɤra matɕi	['tɕendɤre', 'ɯrʑaβ', 'nɯ', 'ɯskhrɯ', 'mɯɲɤβdi', 'χsɯsla', 'ma', 'mɯtoβzu', 'ri', 'tɕendɤre', 'ɯpɕi', 'joɬoʁndʑi', 'ɲɤphɣondʑi', 'pjɤra', 'matɕi']	['tɕendɤre', 'ɯrʑaβ', 'nɯ', 'ɯskhrɯ', 'mɯɲɤβdi', 'χsɯsla', 'ma', 'mɯtoβzu', 'ri', 'tɕendɤre', 'ɯpɕi', 'joɬoʁndʑi', 'ɲɤphɣondʑi', 'pjɤra', 'matɕi']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
sɤtɕha ra pjɤkɤtʂoʁloʁci qhe tɕe nɯra tɕetha kɯsɤɣʑi ra pɯme ma ɲɤsɯsondʑi qhe tɕe nɯ jophɣondʑi	sɤtɕha ra pjɤkɤtʂoʁloʁci qhe tɕe nɯra tɕetha kɯsɤɣʑi ra pɯme ma ɲɤsɯsondʑi qhe tɕe nɯ jophɣondʑi	['sɤtɕha', 'ra', 'pjɤkɤtʂoʁloʁci', 'qhe', 'tɕe', 'nɯra', 'tɕetha', 'kɯsɤɣʑi', 'ra', 'pɯme', 'ma', 'ɲɤsɯsondʑi', 'qhe', 'tɕe', 'nɯ', 'jophɣondʑi']	['sɤtɕha', 'ra', 'pjɤkɤtʂoʁloʁci', 'qhe', 'tɕe', 'nɯra', 'tɕetha', 'kɯsɤɣʑi', 'ra', 'pɯme', 'ma', 'ɲɤsɯsondʑi', 'qhe', 'tɕe', 'nɯ', 'jophɣondʑi']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕeri tʂu jɤarindʑi tɕe tɕendɤre kɯdɤn mɯtotsundʑi ma tɕendɤre ʁmaʁ ra pjɤdɤn qhe nɯra tɯrme kɯnɤphɯphɣo nɯra qhe tówɣsɤtʂoʁloʁnɯ ʑo ɕti qhe ɯrʑaβ ɲɤ́wɣsɯβde	tɕeri tʂu jɤarindʑi tɕe tɕendɤre kɯdɤn mɯtotsundʑi ma tɕendɤre ʁmaʁ ra pjɤdɤn qhe nɯra tɯrme kɯnɤphɯphɣo nɯra qhe tówɣsɤtʂoʁloʁnɯ ʑo ɕti qhe ɯrʑaβ ɲɤ́wɣsɯβde	['tɕeri', 'tʂu', 'jɤarindʑi', 'tɕe', 'tɕendɤre', 'kɯdɤn', 'mɯtotsundʑi', 'ma', 'tɕendɤre', 'ʁmaʁ', 'ra', 'pjɤdɤn', 'qhe', 'nɯra', 'tɯrme', 'kɯnɤphɯphɣo', 'nɯra', 'qhe', 'tówɣsɤtʂoʁloʁnɯ', 'ʑo', 'ɕti', 'qhe', 'ɯrʑaβ', 'ɲɤ́wɣsɯβde']	['tɕeri', 'tʂu', 'jɤarindʑi', 'tɕe', 'tɕendɤre', 'kɯdɤn', 'mɯtotsundʑi', 'ma', 'tɕendɤre', 'ʁmaʁ', 'ra', 'pjɤdɤn', 'qhe', 'nɯra', 'tɯrme', 'kɯnɤphɯphɣo', 'nɯra', 'qhe', 'tówɣsɤtʂoʁloʁnɯ', 'ʑo', 'ɕti', 'qhe', 'ɯrʑaβ', 'ɲɤ́wɣsɯβde']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
qhe ʁzɤmi ni ʑaka jonɯɕendʑi tɕe tɤtɕɯ nɯ kɯ ɯrʑaβ ɯskhrɯm mɤkɯβdi nɯ pjɤnɯzdɯɣ tɕe aʁɤndɯndɤt ʑo ɲɤɕar ri maka mɯpjɤmto	qhe ʁzɤmi ni ʑaka jonɯɕendʑi tɕe tɤtɕɯ nɯ kɯ ɯrʑaβ ɯskhrɯm mɤkɯβdi nɯ pjɤnɯzdɯɣ tɕe aʁɤndɯndɤt ʑo ɲɤɕar ri maka mɯpjɤmto	['qhe', 'ʁzɤmi', 'ni', 'ʑaka', 'jonɯɕendʑi', 'tɕe', 'tɤtɕɯ', 'nɯ', 'kɯ', 'ɯrʑaβ', 'ɯskhrɯm', 'mɤkɯβdi', 'nɯ', 'pjɤnɯzdɯɣ', 'tɕe', 'aʁɤndɯndɤt', 'ʑo', 'ɲɤɕar', 'ri', 'maka', 'mɯpjɤmto']	['qhe', 'ʁzɤmi', 'ni', 'ʑaka', 'jonɯɕendʑi', 'tɕe', 'tɤtɕɯ', 'nɯ', 'kɯ', 'ɯrʑaβ', 'ɯskhrɯm', 'mɤkɯβdi', 'nɯ', 'pjɤnɯzdɯɣ', 'tɕe', 'aʁɤndɯndɤt', 'ʑo', 'ɲɤɕar', 'ri', 'maka', 'mɯpjɤmto']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
mɯpjɤmto qhe tɕendɤre nɤkinɯ iɕqha nɯ ɯrʑaβ nɯ ma kɯ ɯʁjɯβ cinɤ kɤmto mɯpjɤcha qhe wuma ʑo pjɤnɯzdɯɣ	mɯpjɤmto qhe tɕendɤre nɤkinɯ iɕqha nɯ ɯrʑaβ nɯ ma kɯ ɯʁjɯβ ci nɤ kɤmto mɯpjɤcha qhe wuma ʑo pjɤnɯzdɯɣ	['mɯpjɤmto', 'qhe', 'tɕendɤre', 'nɤkinɯ', 'iɕqha', 'nɯ', 'ɯrʑaβ', 'nɯ', 'ma', 'kɯ', 'ɯʁjɯβ', 'cinɤ', 'kɤmto', 'mɯpjɤcha', 'qhe', 'wuma', 'ʑo', 'pjɤnɯzdɯɣ']	['mɯpjɤmto', 'qhe', 'tɕendɤre', 'nɤkinɯ', 'iɕqha', 'nɯ', 'ɯrʑaβ', 'nɯ', 'ma', 'kɯ', 'ɯʁjɯβ', 'ci', 'nɤ', 'kɤmto', 'mɯpjɤcha', 'qhe', 'wuma', 'ʑo', 'pjɤnɯzdɯɣ']	1	0.9950248756218906	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.2857142857142857, 0.15384615384615385, 0.18181818181818182, 0.0, 0.0, 0.0]	0.6826691826691826
tɕe pjɤnɯzdɯɣ ri kɤpa pjɤme qhe joɕe qhe tɕendɤre tɯsŋi qhe nɤkinɯ iɕqha nɯ	tɕe pjɤnɯzdɯɣ ri kɤpa pjɤme qhe joɕe qhe tɕendɤre tɯsŋi qhe nɤkinɯ iɕqha nɯ	['tɕe', 'pjɤnɯzdɯɣ', 'ri', 'kɤpa', 'pjɤme', 'qhe', 'joɕe', 'qhe', 'tɕendɤre', 'tɯsŋi', 'qhe', 'nɤkinɯ', 'iɕqha', 'nɯ']	['tɕe', 'pjɤnɯzdɯɣ', 'ri', 'kɤpa', 'pjɤme', 'qhe', 'joɕe', 'qhe', 'tɕendɤre', 'tɯsŋi', 'qhe', 'nɤkinɯ', 'iɕqha', 'nɯ']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
li iɕqha kɯnɤphɯphɣo ra nɯrca nɯtɕu tɕe joɣi tɕe shandong pjɤrɤʑi ɕti ri nɯra kɤɕar ntsɯ kɯ henan jozɣɯt	li iɕqha kɯnɤphɯphɣo ra nɯrca nɯtɕu tɕe joɣi tɕe shandong pjɤrɤʑi ɕti ri nɯra kɤɕar nts ke huolan ɲozɣɯt	['li', 'iɕqha', 'kɯnɤphɯphɣo', 'ra', 'nɯrca', 'nɯtɕu', 'tɕe', 'joɣi', 'tɕe', 'shandong', 'pjɤrɤʑi', 'ɕti', 'ri', 'nɯra', 'kɤɕar', 'ntsɯ', 'kɯ', 'henan', 'jozɣɯt']	['li', 'iɕqha', 'kɯnɤphɯphɣo', 'ra', 'nɯrca', 'nɯtɕu', 'tɕe', 'joɣi', 'tɕe', 'shandong', 'pjɤrɤʑi', 'ɕti', 'ri', 'nɯra', 'kɤɕar', 'nts', 'ke', 'huolan', 'ɲozɣɯt']	0	0.9519230769230769	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.5, 0.5454545454545454, 0.8333333333333334]	0.9334700387331967
henan nɯnɯ jozɣɯt qhe tɕendɤre nɯtɕu qhe tɕe nɤkinɯ tɯtsɣe ɯkɯβzu tsuku ɲɤkɤtɯɣci qhe nɯ ɕɯŋgɯ ɯkɤnɯfse ci ɲɤkɤtɯɣci	huolan nɯnɯ jozɣɯt qhe tɕendɤre nɯtɕu qhe tɕe nɤkinɯ tɯtsɣe ɯkɯβzu tsuku ɲɤkɤtɯɣci qhe nɯ ɕɯŋgɯ ɯkɤnɯfse ci ɲɤkɤtɯɣci	['henan', 'nɯnɯ', 'jozɣɯt', 'qhe', 'tɕendɤre', 'nɯtɕu', 'qhe', 'tɕe', 'nɤkinɯ', 'tɯtsɣe', 'ɯkɯβzu', 'tsuku', 'ɲɤkɤtɯɣci', 'qhe', 'nɯ', 'ɕɯŋgɯ', 'ɯkɤnɯfse', 'ci', 'ɲɤkɤtɯɣci']	['huolan', 'nɯnɯ', 'jozɣɯt', 'qhe', 'tɕendɤre', 'nɯtɕu', 'qhe', 'tɕe', 'nɤkinɯ', 'tɯtsɣe', 'ɯkɯβzu', 'tsuku', 'ɲɤkɤtɯɣci', 'qhe', 'nɯ', 'ɕɯŋgɯ', 'ɯkɤnɯfse', 'ci', 'ɲɤkɤtɯɣci']	0	0.9785407725321889	[0.5454545454545454, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9760765550239234
tɕe nɯ kɯ ɲɤ́wɣnɯkhɤda qhe manɯtɯnɯzdɯɣ tɕe toti tɕe iɕqha tɯtsɣe sɤβzu ɣɯ ɯʁdɤnba ra ɲɤ́wɣznɤŋgɯ qhe	tɕe nɯ kɯ ɲɤ́wɣnɯkhɤda qhe manɯtɯnɯzdɯɣ tɕe toti tɕe iɕqha tɯtsɣe sɤβzu ɣɯ ʁdɤnba ra ɲɤ́wɣznɤŋgɯ qhe	['tɕe', 'nɯ', 'kɯ', 'ɲɤ́wɣnɯkhɤda', 'qhe', 'manɯtɯnɯzdɯɣ', 'tɕe', 'toti', 'tɕe', 'iɕqha', 'tɯtsɣe', 'sɤβzu', 'ɣɯ', 'ɯʁdɤnba', 'ra', 'ɲɤ́wɣznɤŋgɯ', 'qhe']	['tɕe', 'nɯ', 'kɯ', 'ɲɤ́wɣnɯkhɤda', 'qhe', 'manɯtɯnɯzdɯɣ', 'tɕe', 'toti', 'tɕe', 'iɕqha', 'tɯtsɣe', 'sɤβzu', 'ɣɯ', 'ʁdɤnba', 'ra', 'ɲɤ́wɣznɤŋgɯ', 'qhe']	0	0.9950248756218906	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9230769230769231, 1.0, 1.0, 1.0]	0.995475113122172
tɕendɤre nɯra nɤʑo tɯtsɣe tɤβze toti	tɕendɤre nɯra nɤʑo tɯtsɣe tɤβze toti	['tɕendɤre', 'nɯra', 'nɤʑo', 'tɯtsɣe', 'tɤβze', 'toti']	['tɕendɤre', 'nɯra', 'nɤʑo', 'tɯtsɣe', 'tɤβze', 'toti']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕendɤre nɯ ɯqhu tɕe tɕendɤre kɯki zhangxiaobing nɯnɯ henan nɯtɕu lorɤʑi qhe	tɕendɤre nɯ ɯqhu tɕe tɕendɤre kɯki zhangxiaobin nɯnɯ huolan nɯtɕu lorɤʑi qhe	['tɕendɤre', 'nɯ', 'ɯqhu', 'tɕe', 'tɕendɤre', 'kɯki', 'zhangxiaobing', 'nɯnɯ', 'henan', 'nɯtɕu', 'lorɤʑi', 'qhe']	['tɕendɤre', 'nɯ', 'ɯqhu', 'tɕe', 'tɕendɤre', 'kɯki', 'zhangxiaobin', 'nɯnɯ', 'huolan', 'nɯtɕu', 'lorɤʑi', 'qhe']	0	0.9605263157894737	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 0.5454545454545454, 1.0, 1.0, 1.0]	0.9587878787878787
