Reference,Prediction
wɤ˩˥|sɑ˧|le˧ɲi˩|le˧ɲi˩|le˧ɲi˩|tʰi˩˥|ɣɯ˧|le˧dɑ˩|le˧dɑ˩|ho˧di˧tɕʰi˧bi˧kv̩˧˥|mæ˩|,wɤ˩˥ sɑ˧ɬi˧ɲi˩ le˧ɲi˩ le˧ɲi˩ tʰi˩˥ ɣɯ˧ le˧dɑ˩˥ le˧dɑ˩ ho˧di˧tɕʰi˧bi˧kv̩˧˥ mæ˩
zo˩no˥|ʈæ˧bɤ˧ki˥lɑ˩qʰæ˩ze˩|,zo˩no˥ ʈæ˧bɤ˧ki˧lɑ˩qʰæ˩ze˩
wɤ˩˥|tʰi˧tɕɯ˥kv̩˩ze˩mæ˩|ʝi˧le˧lv̩˩|tʰi˧tɕɯ˥|,wɤ˩˥ tʰi˧tɕɯ˧kv̩˥ze˩mæ˩ ʝi˧ le˧lv̩˩ tʰi˧tɕɯ˥
æ˧ʂæ˧tɑ˩mv̩˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩mæ˩|ɑ˩ʁo˧|mv̩˩zo˩ɻæ˩ɳɯ˥|le˧ʈʂæ˧|gɤ˩mɤ˧ʈi˩|,æ˧ʂæ˧tɑ˥mv̩˩ ʈʂʰɯ˧ne˧ʝi˥ pi˧kv̩˩˥mæ˩ ɑ˩ʁo˧ mv̩˩zɑ˩ɳɯ˥ le˧ʈʂæ˧˥ kɤ˧wɤ˥jo
gv̩˩pʰæ˩˥|ɲi˧tv̩˧pʰæ˧˥|so˧tv̩˧pʰæ˧˥|õ˧ʈʂʰɯ˧ne˧ʝi˥|le˧dɑ˧˥|dʑɯ˩ʁo˩˥|tʰi˧tɕɯ˥dʑo˩|tʰi˩˥|le˧po˧tsʰɯ˧˥|dʑo˩|tʰi˩˥|gv̩˩pʰæ˩˥|le˧|ɖɯ˧tv̩˧|ɲi˧tv̩˧|le˧po˧tsʰɯ˧˥|ɑ˩ʁo˧|mmm…tʰi˩˥|tʰi˧tɕɯ˥|,gv̩˩pʰæ˩˥ ɲi˧tv̩˧pʰæ˧˥ so˧tv̩˧pʰæ˧˥ õ˧ʈʂʰɯ˧ne˧ʝi˥ le˧dɑ˧˥ dʑɯ˧ʁo˥ tʰi˧tɕɯ˥dʑo˩ tʰi˩˥ le˧po˧tsʰɯ˧˥ dʑo˩ tʰi˩˥ gv̩˩pʰæ˧˥ leɖɯ˧tv̩˧ɲi˧tv̩˧ le˧po˧tsʰɯ˧˥ ɑ˩ʁo˧ mm…tʰi˩˥ tʰi˧tɕɯ˥
ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩dʑo˩|tʰi˩˥|mmm…sɯ˧pʰi˧|ə˧tso˧mɤ˧ɲi˩|sɯ˧pʰi˧ɳɯ˧|ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩|tʰi˩˥|sɯ˧pʰi˧lo˧ʝi˧|,ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩dʑo˩ tʰi˩˥ mm…sɯ˧pʰi˧ ə˧tso˧mɤ˧ɲi˩ sɯ˧pʰi˧ɳɯ˧ ə˧lɑ˧ʁwɤ˧dzi˩kʰɯ˩ tʰi˩˥ sɯ˧pʰi˧lo˧ʝi˧
tʰi˩˥|õ˧bv̩˥õ˩|ɖʐo˧|qæ˧do˧tʰi˥di˩hĩ˩|tʰv̩˧kʰwɤ˧gɤ˥ʑi˩|,tʰi˩˥ õ˧bv̩˥õ˩ ɖʐo˧ qæ˧do˧ tʰi˧di˩hĩ˩ʈʂʰɯ˧kʰwɤ˩ gɤ˧ʑi˩
tʰi˩˥|kv̩˧|ʈʂʰɯ˧dʑo˩|mo˧bv̩˥|zo˩no˥|ʈʂʰæ˧ɣɯ˧ɲi˥|pi˧zo˩|ə˩gi˩|,tʰi˩˥ kv̩˧ʈʂʰɯ˧dʑo˩ mo˧bv̩˥ zo˩no˥ ʈʂʰæ˧ɣv̩˧ɲi˥ pi˧zo˩ ə˩gi˩
ʐo˩dzɯ˩˥|wɤ˩˥|ʐwæ˧tɕi˥|le˧pʰv̩˧˥|wɤ˩˥|ɖɯ˧ʂɯ˩dzɯ˩|wɤ˩˥|ʐwæ˧|ɖɯ˧lv̩˧˥|wɤ˩˥|ɖɯ˧ʂɯ˩ʈʂæ˩|,ʐo˩dzɯ˩˥ wɤ˩˥ ʐwæ˧tɕɯ˥ le˧pʰv̩˧˥ wɤ˩˥ ɖɯ˧ɯ˧ʂɯ˩dzɯ˧ wɤ˩˥ ʐwæ˧ ɖɯ˧lv̩˧ĩ˥ wɤ˩˥ ɖɯ˧ʂɯ˩ʈʂæ˩
qʰv̩˧˥|dʑo˩|tʰi˩˥|mi˩zɯ˩˥|ɖɯ˧v̩˧dʑo˩tsɯ˩mv̩˩|,qʰv̩˩˥ dʑo˩ tʰi˩˥ mi˩zɯ˩˥ ɖɯ˧v̩˧dʑo˩tsɯ˩mv̩˩
tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|ʝi˧bi˧di˧mɤ˧di˥|,tʰi˩˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ ʝi˧bi˧di˧mɤ˧di˧
ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˧dʑo˧|gɯ˧ɳɯ˧|qʰæ˧dʑo˧|mɤ˧do˩|ə˩gi˩|,ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧kʰwɤ˧dʑo˥ gɤ˧ɳɯ˧ qʰæ˧tɕi˧ mɤ˧do˩ ə˩gi˩
ə˧ʝi˧ʂɯ˥ʝi˩|ho˧di˧mɤ˧ɲi˩|ʂe˧ʈʂe˩|dʑo˧mɤ˧kv̩˧pʰæ˥di˩|ʂe˧ʈʂe˩hwæ˩|le˧po˧jo˥kv̩˩mæ˩|,ə˧ʝi˧ʂɯ˥ʝi˩ ho˧di˧mɤ˧ɲi˩ ʂe˧ʈʂʰɯ˩ dʑo˧mɤ˧kv̩˧pʰæ˥di˩ ʂe˧ʈʂe˩hwæ˩ le˧po˧jo˥kv̩˩mæ˩
ʂe˧pʰæ˩|ɖɯ˧pʰæ˧˥|tʰi˧kʰɯ˧˥|,ʂe˧pʰæ˩ ɖɯ˧pʰæ˧tʰi˥kʰɯ˩
gv̩˧wo˥,ə˧zɯ˩ɖɯ˧
kʰv̩˩mi˩tʰv̩˩v̩˩ɳɯ˥|hĩ˧|ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩|tʰi˩˥|əəə…zo˩no˥|tsʰe˩so˩kʰv̩˩gv̩˩˥|kwɤ˩tɕɯ˩lɑ˩|hĩ˧|ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩|,kʰv̩˩mi˩tʰv̩˩v̩˩ɳɯ˥ hĩ˧ ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩ tʰi˩˥ əə…zo˩no˥ tsʰe˩so˩kʰv̩˩gv̩˩˥ kwɤ˩tɕɯ˩lɑ˩ hĩ˧ ɖɯ˧v̩˧tsɤ˧ɲi˥ze˩
tʰi˩˥|ʈʂʰɯ˧|so˧bæ˧hĩ˧|ʈʂʰɯ˧dʑo˩|tsʰe˧ʝi˧dʑo˩|ʑi˧qʰwɤ˧dɑ˧tso˧ɲi˥|pi˧zo˩|gv̩˩ɬi˩mi˩qo˥ɳɯ˩|əəə…ɬi˩bi˩ʈʂʰɯ˥|le˧qwæ˧˥|wɤ˩˥|ɑ˩ʁo˧|lv̩˧qo˧|tʰi˧tv̩˧hĩ˧ʈʂʰɯ˧|gɤ˩qwæ˩˥|,tʰi˩˥ ʈʂʰɯ˧so˧bæ˧hĩ˧ʈʂʰɯ˧dʑo˩ tsʰe˧ʝi˧ʑ˩ ʑi˧qʰwɤ˧dɑ˧tso˧ɲi˥ pi˧zo˩ gv̩˩ɬi˩mi˩qo˥ɳɯ˩ əə…ɬi˩bi˩ʈʂʰɯ˥ le˧qwæ˧˥ wɤ˩˥ ɑ˩ʁo˧ tlv̩˧qo˧tʰv̩˧tv̩˧hĩ˧ʈʂʰɯ˧ gæ˩qwæ˧˥
se˧kʰɯ˩|ʁo˧ni˥|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧bo˩|qʰɑ˧ʂæ˧gv̩˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧bo˩|,se˧kʰɯ˩ʁo˩ni˥ ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧bo˩ qʰɑ˧ʂæ˧gv̩˧ ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧bvo˩
kʰv̩˩mi˩ki˥dʑo˩|tʰi˩˥|pʰv̩˩ɖɯ˩ʝi˥zo˩kv̩˩|hĩ˧hĩ˧zɯ˧zɯ˥lɑ˩|kʰv̩˩zɯ˩zɯ˥pi˩|zo˩no˥|hĩ˧lɑ˩|kʰv̩˧dʑo˩|ɖɯ˧bæ˧lɑ˧ɲi˥|,kʰv̩˩mi˩ki˥dʑo˩ tʰi˩˥ pʰv̩˧ɖɯ˧ʝi˥zo˩kv̩˩ hĩ˧ hĩ˧ zɯ˧zɯ˧lɑ˩ kʰv̩˩zɯ˥zɯ˩pi˩ zo˩no˥ hĩ˧lɑ˩ kʰv̩˧dʑo˩ ɖɯ˧bæ˧lɑ˧ɲi˥
tʰi˩˥|əəə…ə˧mi˧|ɖɯ˧do˩ki˩dʑo˩|tʰi˩˥|wɤ˩˥|ə˧mi˧|le˧tɕʰɯ˧˥|tɕɯ˩hɯ˩zo˩|,tʰi˩˥ ə…ə˧mi˧ɖɯ˧do˩ɻ̍ki˩dʑo˩ tʰi˩˥ɤ˩ ə˧mi˧ le˧tɕʰɯ˧˥tɕi˩hɯ˩zo˩
ʈʂʰɯ˧ne˧ʝi˥|ʁɑ˩mi˧|ɲi˧zo˧|njɤ˩ɭɯ˧lɑ˧|ʁo˧qʰwɤ˩dʑo˩|tʰi˧di˩zo˩|,ʈʂʰɯ˧ne˧ʝi˥ ʁɑ˩mi˧ ɲi˧zo˧ njɤ˩ɭɯ˧lɑ˧ ʁo˧qʰwɤ˩zo˩dʑo˩ tʰi˧di˩zo˩
ɖɯ˧kʰv̩˧˥|ɲi˧kʰv̩˧˥|tsʰe˧kʰv̩˧gv̩˧ɲi˥ze˩mæ˩ə˩gi˩|,ɖɯ˧kʰv̩˧˥ ɲi˩kʰv̩˩˥ tsʰe˩kʰv̩˩gi˩ɲi˥ze˩mæ˩ ə˩gi˩
tʰi˩˥|dʑo˩gi˩˥|dʑo˩|tʰi˩˥|hĩ˧ɻæ˥|tʰi˩˥|kə˧mv̩˧˥|tʰi˩˥|ʂɯ˧tse˥|mɤ˧hɯ˧|tʰi˧dzi˩kʰɯ˩tsɯ˩|mv̩˩|,tʰi˩˥ dʑo˩ gi˩˥ dʑo˩ tʰi˩˥ hĩ˧ɻæ˥ tʰi˩˥ kə˧mv̩˧˥ tʰi˩˥ ʂɯ˩tsɤ˧˥ mɤ˧hɯ˧ tʰi˧dzi˩kʰɯ˩tsɯ˩ mv̩˩
njɤ˧|ə˧si˧ɳɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mv̩˩|,njɤ˧ ə˧si˧ɳɯ˧ ʈʂʰɯ˧ne˧ʝi˥ ʐwɤ˩kv̩˩˥ mæ˩
ʈʂʰɯ˧ne˧ʝi˥|le˧ʈʂʰo˥|le˧ʈʂʰo˥dʑo˩|tʰi˩˥|əəə…ʁwɤ˧ʁwɤ˧qo˧|njæ˧sɯ˩kv̩˩|bi˧|ɖɯ˧ʑi˩ɳɯ˩|ɖɯ˧v̩˧|bi˧|ʈʰææ̃˧|tʰi˧gəəə…tʰi˧dzi˩|ʈʂʰɯ˧ne˧ʝi˥|ŋv̩˩kv̩˩˥|mæ˩|,ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʂʰo˧˥ le˧ʈʂʰo˧˥ dʑo˩ tʰi˩˥ əəəə…ʁwɤ˧qo˧ njæ˧sɯ˩kv̩˩ bi˧ ɖɯ˧ʑi˩ɳɯ˩ ɖɯ˧v̩˧bi˧ ʈʰæɑ̃˧ tʰi˧qoəə…tʰi˧dzi˩zi˩ ʈʂʰɯ˧ne˧i˥ ŋv̩˩kv̩˥ mæ˩
lɑ˧tʰɑ˧di˧ɳɯ˥|tʰi˩˥|ə˧lɑ˧ʁwɤ˧dzi˩|,lɑ˧tʰɑ˧di˧ɳɯ˥ tʰi˩˥ ə˧lɑ˧ʁwɤ˧dzi˩
zo˩no˥|kʰv̩˩mi˩ki˥|pʰv̩˧ɖɯ˧mɤ˧ʝi˥|pi˧dʑo˩|dʑɤ˩mɤ˧kv̩˧pi˥zo˩|,zo˩no˥ kʰv̩˩mi˩ki˥ pʰv̩˧ɖɯ˧mɤ˧ʝi˥ pi˧dʑo˩ dʑɤ˩mɤ˧kv̩˧˥ pi˧zo˩
ʂɯ˧tsʰi˩hõ˩tsʰi˩kʰv̩˩ɖɯ˩bi˩|õ˧bv̩˥õ˩ɲi˩ze˩,ʂɯ˧tsʰi˩hõ˩tsʰi˩kʰv̩˩ɖɯ˩bi˩ õ˧bv̩˥õ˩ɲi˩ze˩
əəə…bæ˩bæ˩bæ˥pi˩|tsʰe˧tʰv̩˧kv̩˧hĩ˥|ɖɯ˧ʁo˩dʑo˩dʑo˩|õ˧tʰv̩˧ʁo˥hĩ˩tʰv̩˩|,əə…bæ˩bæ˩bæ˩˥ pi˧ tsʰe˧tʰv̩˧kv̩˧hĩ˧ɖɯ˧ʁo˩dʑo˩dʑo˩ õ˧tʰv̩˧ʁo˥tʰv̩˩ɻ
tʰi˩˥|ʈʰæ˧mi˧ɳɯ˩|di˩li˩ʁo˩bv̩˥dʑo˩|le˧tɕɤ˧˥|,tʰi˩˥ ʈʰææ̃˧ di˩li˩ʁo˩bv̩˥tɕo˩ le˧tɕɤ˧˥
ʂe˩mo˧ɲi˥pi˩|ɖɯ˧ʁo˩dʑo˩kv̩˩|zo˩no˥|ɖwæ˧˥|pʰv̩˧ɖɯ˧hĩ˥tʰv̩˩ʁo˩dʑo˩|ʂe˩mo˧ɲi˥|pi˧kv̩˩mæ˩|,ʂe˩mo˧ɲi˥pi˩ ɖɯ˧ʁo˩dʑo˩kv̩˩ zo˩no˥ ɖwæ˩˥˥ pʰv̩˧ɖɯ˧hĩ˥ tʰɯ˧ʁo˩dʑo˩ ʂe˩mo˧ɲi˥ pi˧kv̩˩mæ˩
tʰi˩˥əəə…|õ˧tʰv̩˧əəə…ə˧pʰv̩˧dʑo˧|ə˧pʰv̩˧ɲi˩ze˩mæ˩|ə˩gi˩|njæ˧sɯ˩kv̩˩|ə˧pʰv̩˧|ə˧ʑi˧˥|ə˧pʰv̩˧ɲi˩ze˩mæ˩|tʰv̩˧sɯ˩kv̩˩|zo˧mv̩˥|mɤ˧dʑo˩ɲi˩ze˩mæ˩|,tʰi˩˥ ə…oʈtʰv̩˧əə… ə˧pʰv̩˧dʑo˧ æə˧pʰv̩˩ɲi˩ze˩mæ˩ ə˩gi˩ njæ˧sɯ˩kv̩˩ ə˧pʰv̩˧ ə˧ʑi˧˥ ə˧pʰv̩˩ɲi˩zmi˩sɯkv̩˩ zo˧mv̩˥ mɤ˧dʑo˩ɲi˩ze˩mæ˩
li˧hɯ˧dʑo˥|ɲi˧zo˧ʈʂʰɯ˧|qʰɑ˧ɖɯ˧mi˧hĩ˧|ɖɯ˧mi˩|tʰi˧dʑo˩|pi˧tsɯ˩mv̩˩|,li˧hɯ˧dʑo˧ ɲi˧zo˧ʈʂʰɯ˧ ɑ˧qʰɑ˧ɖɯ˧mi˧ɖɯ˧mi˩ tʰi˧ɤ˩dʑo˩ pi˧tsɯ˩ mv̩˩
dʑɤ˩tsʰo˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩mmm…dʑo˩|kɤ˧kɤ˩|tʰi˧dzi˩dʑo˩||,dʑɤ˩tsʰɑ˧dʑo˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ kɤ˧kɤ˩ tʰi˧dzi˩dʑo˩
jɤ˧ŋɤ˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩|hæ̃˩bɑ˥lɑ˩|,jɤ˧ŋɤ˧dʑo˧ ə˧ʝi˧ʂɯ˥ʝi˩ hæ̃˩bɑ˥lɑ˩
pʰɤ˧bɤ˧|ɖɯ˧tɑ˧˥|le˧po˧˥|tso˧tso˧le˧po˧˥|no˧ɳɯ˧|pi˧ni˧˥|bo˩ʈʂʰæ˥|le˧po˧˥|,pʰɤ˧bɤ˧ ɖɯ˧tɑ˧˥ le˧po˧˥ tso˧tso˧ le˧po˧˥ no˧ɳɯ˧ pi˧ni˧ bo˩ʈʂʰæ˧˥ le˧po˧˥
dʑɯ˩nɑ˩mi˩ʁo˩˥|tʰi˩˥|mo˧˥|ɲi˩ze˧gɤ˧|le˧ɖʐɤ˧˥|tʰi˧dzɯ˥dʑo˩|ʈʂʰɯ˧|mɤ˧sɯ˧ɲi˥|ə˧tso˧ə˧tso˧ɲi˩|mɤ˧sɯ˧ɲi˥|,dʑɯ˩nɑ˩mi˩ʁo˩˥ tʰi˧ mo˧˥ ʝi˧ze˧gɤ˧ le˧ʐɤ˧ tʰi˧dzɯ˥dʑo˩ ʈʂʰɯ˧mɤ˧sɯ˧˥ ɲi˥ ə˧tsɯ˧ ə˧tso˧ɲi˧ mɤ˧sɯ˥ɲi˩
ʐv̩˩ɬi˩mi˩˥|mv̩˧dze˧mv̩˩|ŋwɤ˩ɬi˩mi˩˥|qʰv̩˧ɬi˧mi˧|dze˧ɭɯ˧mv̩˩ze˩tsɯ˩|mv̩˩,ʐv̩˩ɬi˩mi˩˥ mv̩˧dzɤ˧mv̩˩˥ ŋwɤ˩ɬi˩mi˩˥ qʰv̩˧ɬi˧mi˧ dze˧ɭɯ˧mv̩˩ze˩tsɯ˩ mv̩˩
ho˧di˧bi˧|ho˧di˧|əəə…li˩˥|le˧tɕɯ˧po˥|əəə…mɤ˧lɑ˧|li˩˥|le˧tɕɯ˧˥|ho˧di˧tɕʰi˧bi˧kv̩˧˥|mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩|,ho˧di˧bi˧ ho˧di˧ əə…li˩˥ le˧tɕɯ˧po˩ mɤ˧lɑ˧ li˩˥ le˧tɕɯ˧˥ ho˧di˧tɕʰi˧bi˧kv̩˥mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩
tsʰe˧ɬi˧mi˧qo˩|gv̩˩ɬi˩mi˩qo˥tʰv̩˩|wɤ˩˥|ɕi˧|le˧kʰv̩˥|wɤ˩˥|hɑ˧|le˧lɑ˧˥|,tsʰe˧ɬi˧mi˧qo˧ gv̩˩ɬi˩mi˩qo˥tʰɯ˩ wɤ˩˥ si˧ le˧kʰv̩˧˥ wɤ˩˥ hɑ˧ le˧lɑ˧˥
ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧gv̩˩|,ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ wɤ˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧˥le˥ wɤ˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧ɭɯ˧ ʈʂʰɯ˧ne˧ʝi˥ le˧ɭɯ˧gv̩˩
ʂo˧qo˧tʰʈæ˧bɤ˧dʑɯ˧˥|pi˧|ʂo˧qo˧tʰɑ˩|ɖɯ˩hĩ˩˥|ɲi˧po˩|so˧po˧hwæ˧le˧po˧tsʰɯ˧˥|,ʂo˧kʰwɤ˩ʰʈæ˧bɤ˧dʑɯ˧˥ pi˧ ʂo˧kvo˩tʰɑ˩ ɖɯ˩hĩ˥ ɲi˧po˩so˩pv̩˩ hwɑ˩ le˧po˧tsʰɯ˧˥
ĩ˧|mi˧tʰv̩˧|le˧w̃æ˧|ʈʂʰɯ˧bv̩˧bv̩˧gv̩˥kv̩˩ɲi˩|,ə˧mi˧tʰv̩˧ le˧w̃˧ʈʂʰɯ˥ bv̩˧bv̩˧vo˧ki˩ɲi˩
ə˧hwɤ˧|lɑ˧ɳɯ˧|njɤ˧ə˧mɑ˧|le˧ʈʰæ˧ze˥|,ə˧hwɤ˧lɑ˧ɳɯ˧ njɤ˧ ə˧mɑ˧ le˧ʈʰæɑ˧ze˧
tʰi˩˥|tʰv̩˧ɲi˥kɯ˩qo˩|le˧ʈʂɤ˧dʑo˥|tʰi˩˥|ə˧mi˧ɻæ˩ɳɯ˩|ɑ˩ʁo˧|ʐɯ˧tɕɤ˧kv̩˥ze˩|,tʰi˩˥ ʈʂʰɯ˧ɲi˧kɯ˧qo˩ le˧ʈʂɤ˧ tʰi˩˥ ə˧mi˧ɻæ˩ɳɯ˩ʁo˥ ʐɯ˧tɕɤ˧kv̩˥ze˩
ə˧ʝi˧ʂɯ˥ʝi˩|nɑ˩ʈʂʰɯ˥dʑo˩|zo˧ɖɯ˥dʑo˩|ʈʂʰwɤ˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩|mv̩˩ɖɯ˩˥|dʑo˩|ʐo˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ nɑ˩ʈʂʰɯ˥dʑo˩ zo˧ɖɯ˩˥dʑo˩ ʈʂʰwɤ˩tʰv̩˩kv̩˥tsɯ˩mv̩˩ mv̩˩ɖɯ˩˥ dʑo˩ ʐo˩tʰv̩˩kv̩˥tsɯ˩mv̩˩
ʈʂʰɯ˧ne˧ʝi˥|ʈʂʰɯ˧ne˧hĩ˥|tɑ˧tɑ˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˥lɑ˩tʰv̩˩ɲi˩|ɲi˧ɲi˥|,ʈʂʰɯ˧ne˧ʝi˥ ʈʂʰɯ˧ne˧ʝi˥ tɑ˧tɑ˧ kʰi˧ne˧˩˥ ɖɯ˧kʰwɤ˥ tʰv̩˧hĩ˥ ɲi˧ɲi˥
go˧mi˧hĩ˧ki˧ki˩dʑo˩|tʰi˩˥|tʰv̩˧ɲi˧dʑo˩|mmm…ə˧mv̩˧˥|dʑo˩|tʰi˩˥|,go˧mi˧ hĩ˧ki˧ki˩dʑo˩ tʰi˩˥ ʈʰv̩˧ɲi˩dʑo˩ əə…ə˧mv̩˧˥ dʑo˩ tʰi˩˥
mɤ˧bi˧ze˧|mɤ˧bi˧ze˧|ə˧zɯ˩|le˧wo˧bi˧|ʈʂʰɯ˧|hwɤ˧tɕi˥|le˧ɖʐɤ˧˥|pi˧tsɯ˩|mv̩˩|zo˧ki˧|,mɤ˧bi˧ze˧mɤ˧bi˧ze˧ ə˧zɯ˩ le˧wo˧bi˥ tʰv̩˧hwɤ˧tɕi˥ le˧ɖʐɤ˧˥ pi˧tsɯ˩ v̩˩zo˧ki˩
